station_id,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,capacity
142,5.29,5.36,5.33,4.51,4.92,9.31,22.5,28.07,25.47,26.39,25.9,22.01,19.26,20.24,20.63,11.15,2.37,1.71,1.01,3.04,5.4,5.1,5.44,4.57,32
143,9.44,8.52,8.29,6.73,6.01,6.67,15.44,22.37,24.86,23.41,22.34,19.3,19.4,21.18,21.74,16.1,6.16,3.4,3.45,5.35,6.95,9.11,8.74,8.9,27
144,14.74,13.64,13.11,11.67,8.71,7.07,13.16,19.31,19.44,18.58,17.45,17.55,19.6,18.64,19.66,16.38,10.83,8.71,8.48,9.42,12.02,13.64,14.77,15.88,27
145,12.6,12.82,11.85,11.04,10.07,9.6,13.94,20.42,22.19,20.0,17.13,14.86,11.32,12.26,13.25,12.09,7.12,6.67,6.78,9.24,12.16,13.08,12.53,13.21,27
146,8.23,8.26,8.23,7.63,6.29,6.79,9.21,11.48,11.47,11.46,10.91,10.01,8.98,8.43,7.94,8.28,7.34,6.5,7.38,8.39,9.13,9.32,9.08,9.02,15
147,21.57,21.72,22.1,21.33,19.96,15.93,10.57,6.28,6.52,7.83,7.29,7.69,15.09,13.47,15.12,15.83,17.46,17.13,17.64,19.22,19.88,19.93,21.02,22.02,27
148,24.55,24.72,25.23,24.09,23.65,21.16,12.84,3.67,2.84,2.2,2.53,4.44,7.13,10.43,12.82,16.38,20.96,22.34,23.51,23.06,22.91,23.4,23.98,24.65,27
149,8.06,8.06,7.73,6.95,5.79,9.34,18.61,24.09,24.53,22.02,19.9,16.25,12.54,14.43,12.65,8.24,2.84,1.8,2.83,4.42,4.24,4.99,7.81,8.29,27
150,17.55,15.72,15.2,13.51,8.47,6.4,9.59,16.44,17.61,15.49,14.35,14.44,14.28,15.68,14.86,12.1,8.93,7.65,8.9,11.31,15.84,16.26,15.96,16.66,27
151,9.25,9.43,9.52,8.49,8.03,11.18,20.23,24.02,24.36,22.91,19.59,15.85,14.04,12.51,10.36,6.15,2.36,1.92,2.25,2.17,4.34,6.37,7.43,7.51,27
152,8.58,8.46,8.23,7.36,6.43,6.58,13.66,21.89,23.57,21.98,18.98,17.6,15.44,13.43,13.51,11.58,5.99,3.11,2.38,4.63,4.98,5.61,7.26,7.89,27
153,12.13,12.24,10.62,7.75,5.06,3.43,5.57,16.13,19.81,19.95,18.69,16.74,16.49,18.0,16.88,15.71,16.43,16.22,13.52,13.08,13.71,13.71,13.8,14.64,23
154,20.12,20.1,17.68,14.32,10.05,6.71,5.31,16.29,21.42,22.52,19.93,20.25,21.1,21.44,21.55,21.14,20.61,19.91,19.65,21.67,23.52,22.58,19.55,19.01,32
155,14.4,13.83,13.77,11.81,10.65,10.0,22.04,25.01,22.92,21.7,19.62,17.86,11.83,12.08,14.62,10.41,2.85,2.88,5.45,9.56,12.99,14.06,13.65,14.73,32
156,7.54,7.89,7.83,7.76,7.34,9.94,18.49,22.69,22.77,21.76,19.48,17.3,11.5,9.55,8.84,7.39,5.5,8.39,12.59,15.34,12.17,9.04,7.73,9.63,27
157,14.24,13.85,12.53,11.09,9.29,9.2,10.05,13.0,17.42,17.61,16.48,16.25,16.35,17.6,18.3,17.4,17.41,17.58,17.77,19.19,19.82,19.22,16.35,14.75,24
158,9.88,9.91,9.82,8.45,8.31,8.97,14.73,21.73,22.9,20.0,17.94,16.44,12.66,12.74,13.42,13.02,11.67,10.25,9.06,8.28,9.26,9.12,9.48,9.82,27
